Timestamp,Open,High,Low,Close,Volume
1732564800000,94669.49000000,95300.00000000,92600.19000000,93010.01000000,11954.11227000
1732579200000,93010.01000000,94923.69000000,92727.90000000,94464.00000000,6245.66011000
1732593600000,94464.00000000,94973.37000000,93500.08000000,93785.71000000,4722.02616000
1732608000000,93785.72000000,93785.72000000,91466.52000000,92356.85000000,13592.93588000
1732622400000,92356.84000000,93559.00000000,91739.70000000,92813.00000000,13179.13015000
1732636800000,92812.99000000,94685.60000000,91554.11000000,91683.89000000,10628.56926000
1732651200000,91683.90000000,92364.00000000,90791.10000000,91965.16000000,9490.40982000
1732665600000,91965.16000000,93037.38000000,91792.14000000,92588.00000000,5555.58018000
1732680000000,92588.00000000,93648.00000000,92361.66000000,93597.16000000,4840.27212000
1732694400000,93597.16000000,93885.60000000,93109.12000000,93367.99000000,3994.01189000
1732708800000,93367.99000000,95850.00000000,92847.84000000,95556.01000000,9868.59893000
1732723200000,95556.00000000,96631.68000000,95184.79000000,96627.99000000,9525.88556000
1732737600000,96627.99000000,97208.21000000,95731.72000000,95863.11000000,7369.07866000
1732752000000,95863.11000000,96564.00000000,94822.54000000,95471.43000000,6275.70277000
1732766400000,95471.44000000,95922.39000000,95063.15000000,95299.66000000,5014.99892000
1732780800000,95299.66000000,95780.00000000,94640.00000000,95452.01000000,4752.02590000
1732795200000,95452.00000000,96221.80000000,94900.00000000,95007.14000000,5548.28802000
1732809600000,95007.15000000,95435.68000000,94817.00000000,95119.48000000,3678.82621000
1732824000000,95119.48000000,96023.48000000,94698.00000000,95643.98000000,3544.70175000
1732838400000,95643.99000000,96859.00000000,95364.99000000,96590.36000000,3208.77651000
1732852800000,96590.35000000,96630.09000000,95600.03000000,95625.05000000,2916.98299000
1732867200000,95625.05000000,97358.21000000,95616.00000000,97237.91000000,4164.43477000
1732881600000,97237.91000000,98619.99000000,96768.00000000,98019.47000000,8857.57633000
1732896000000,98019.46000000,98440.00000000,96853.82000000,97329.73000000,5993.35722000
1732910400000,97329.73000000,97624.62000000,96981.01000000,97460.00000000,2560.65449000
1732924800000,97460.00000000,97463.95000000,96309.85000000,96640.02000000,3052.57440000
1732939200000,96640.02000000,97234.02000000,96532.70000000,96783.38000000,3397.39114000
1732953600000,96783.38000000,96968.78000000,96092.01000000,96267.99000000,2445.61538000
1732968000000,96267.99000000,96732.15000000,96242.14000000,96645.41000000,2060.42388000
1732982400000,96645.42000000,97062.50000000,96531.35000000,97019.68000000,1822.59102000
1732996800000,97019.69000000,97040.00000000,96320.99000000,96407.99000000,1725.23724000
1733011200000,96407.99000000,96672.49000000,95693.88000000,96336.75000000,3622.03491000
1733025600000,96336.76000000,96515.52000000,96195.99000000,96472.97000000,1284.90142000
1733040000000,96472.97000000,97179.04000000,96424.99000000,97108.89000000,2803.36709000
1733054400000,97108.89000000,97388.78000000,96660.88000000,97028.02000000,3260.08114000
1733068800000,97028.02000000,97523.41000000,96958.48000000,97178.73000000,2968.12339000
1733083200000,97178.73000000,97836.00000000,96800.01000000,97185.18000000,3000.09657000
1733097600000,97185.17000000,98130.00000000,96350.00000000,96483.75000000,5392.94900000
1733112000000,96483.75000000,96924.00000000,95749.97000000,95999.99000000,5378.45190000
1733126400000,95999.99000000,96112.00000000,94820.41000000,95128.68000000,6299.85507000
1733140800000,95128.67000000,97214.77000000,94766.00000000,97048.00000000,8297.68046000
1733155200000,97048.01000000,97356.69000000,94395.00000000,95816.00000000,8796.99302000
1733169600000,95816.01000000,96327.87000000,95112.01000000,95840.62000000,3792.74036000
1733184000000,95840.61000000,96305.52000000,95400.00000000,96079.36000000,3671.38924000
1733198400000,96079.36000000,96238.10000000,95277.35000000,95550.00000000,3510.45774000
1733212800000,95550.00000000,95662.94000000,94595.38000000,94988.01000000,4056.48891000
1733227200000,94988.00000000,96250.00000000,93578.17000000,95682.54000000,13543.07849000
1733241600000,95682.54000000,96169.99000000,94860.00000000,95428.60000000,5936.97324000
1733256000000,95428.61000000,96140.01000000,95272.50000000,95849.69000000,5108.93521000
1733270400000,95849.69000000,96614.16000000,95224.17000000,95770.32000000,4788.30848000
1733284800000,95770.32000000,96714.41000000,95717.54000000,96588.81000000,3607.43743000
1733299200000,96588.81000000,96950.00000000,96172.00000000,96190.41000000,3780.11030000
1733313600000,96190.41000000,96560.00000000,95352.41000000,95742.81000000,7959.19099000
1733328000000,95742.80000000,97232.01000000,94587.83000000,97209.64000000,9467.01122000
1733342400000,97209.64000000,99000.00000000,97128.52000000,98587.32000000,14248.47886000
1733356800000,98587.32000000,104088.00000000,97888.89000000,102964.00000000,29911.48943200
1733371200000,102964.00000000,103544.71000000,101324.16000000,102236.10000000,14930.57327000
1733385600000,102236.10000000,103159.76000000,102236.10000000,102566.91000000,9004.86605000
1733400000000,102566.91000000,103550.00000000,100925.97000000,101292.01000000,15250.81785000
1733414400000,101292.00000000,101999.00000000,98599.36000000,99028.00000000,14788.63995000
1733428800000,99028.01000000,99479.72000000,90500.00000000,96945.63000000,26035.34311000
1733443200000,96945.63000000,98828.70000000,95981.72000000,97735.29000000,10502.77687000
1733457600000,97735.29000000,98288.00000000,97370.19000000,98138.54000000,4600.17485000
1733472000000,98138.53000000,98705.23000000,97622.86000000,98069.62000000,5508.51297000
1733486400000,98069.61000000,99483.81000000,97512.26000000,99309.99000000,9368.18040000
1733500800000,99310.00000000,101799.00000000,98762.60000000,101439.99000000,9652.35617000
1733515200000,101439.99000000,101898.99000000,99053.03000000,99740.84000000,5417.53184000
1733529600000,99740.84000000,100428.00000000,99285.71000000,99299.63000000,2803.39835000
1733544000000,99299.64000000,99666.31000000,98844.00000000,99405.20000000,3254.00298000
1733558400000,99405.20000000,99821.83000000,99260.00000000,99620.00000000,2290.29479000
1733572800000,99620.00000000,99800.00000000,99036.01000000,99756.01000000,2409.08289000
1733587200000,99756.00000000,100263.64000000,99460.37000000,100077.45000000,2257.58478000
1733601600000,100077.45000000,100439.18000000,99595.11000000,99831.99000000,1917.58211000
1733616000000,99831.99000000,100328.88000000,99632.28000000,99934.82000000,1688.21452000
